Frag,Fragmento,Aberlharuco persa,Acridotheres tristis,Acrocephalus scirpaceus,Andropadus importunus,Anous stolidus,Anthus caffer,Anthus leucophrys,Apalis de ruddi,Apalis flavida,Apaloderma narina,Batis fratrum,Batis molitor,Bostrychia hagedash,Bradypterus baboecala,Bycanistes bucinator,Camaroptera brachyura,Campethera abingoni,Ceblepyris caesia,Centropus burchellii,Centropus grillii,Cercotrichas galactoses,Cercotrichas leucophrys,Chalcomitra senegalensis,Chlorocichla flaviventris,Chlorophoneus olivaceus,Chlorophoneus sulfureopectus,Chrysococcyx caprius,Chrysococcyx cupreus,Chrysococcyx klaas,Cinnyris bisfaciata,Cinnyris chalybeus,Cinnyris mariquensis,Cinnyris neergaari,Cinnyris talatala,Cisticola chiniana,Cisticola erythrops,Cisticola galactotes,Cisticola juncidis,Clamator jacobinus,Colius striatus,Coracias caudatus,Corvus splendens,Corypha africana,Cossypha heuglini,Cossypha natalensis,Coturnix coturnix,Crinifer concolor,Crithagra mozambica,Cuculus clamosus,Cuculus solitarius,Curruca subcoerulea,Cyanomitra olivacea,Dicrurus adsimilis,Dicrurus ludwigii,Dryoscopus cubla,Elanus caeruleus,Estrilda astrild,Falco peregrinus,Gallirex porphyreloups,Halcyon leucocephala,Hedydipna collaris,Ispidina picta,Lanius collaris,Lophoceros alboterminatus,Lybius torquatus,Merops apiaster,Merops persicus,Merops pusillus,Motacilia flava,Nicator gularis,Nycticorax nycticorax,Oriolus larvatus,Ortygornis sephaena,Pachycoccyx audeberti,Passer diffusus,Passer domesticus,Phoenicopterus roseus,Ploceus bicolor,Ploceus ocularis,Pogoniulus bilineatus,Prinia subflava,Pycnonotus barbatus,Pycnonotus tricolor,Streptopelia semitorquata,Sylvietta rufescens,Tauraco livingstonii,Tchagra australis,Tchagra senegalus,Terpsiphone viridis,Trochocercus cyanomelas,Turdoides jardineii,Turtur chalcospilos,Tychaedon signata,Uraeginthus angolensis,Vidua macroura,Zosterops anderssoni
1,Frag_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Frag_2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
3,Frag_3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1
4,Frag_4,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,2,0,0,2,0,1,0,3,2,2,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5,Frag_5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6,Frag_6,0,0,0,2,0,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0
7,Frag_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
8,Frag_8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
9,Frag_9,0,0,0,2,0,0,0,2,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,6,0,3,0,0,0,1,1,1,0,0,0,1,0,0,0,1
10,Frag_10,0,0,1,8,0,1,0,4,5,1,0,1,3,3,0,7,0,0,1,2,0,4,2,0,1,2,1,1,0,0,0,0,0,0,2,4,0,1,3,1,0,1,0,1,0,0,0,0,1,5,2,4,0,1,4,0,0,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,9,2,4,0,0,5,0,0,2,0,0,0,1,0,0,0,0
